run_id,timestamp,topology,src_node,dst_node,noise_level,error_correction,policy_name,seed,path_taken,num_hops,num_epr_attempts,purification_rounds,final_fidelity,latency_s,success,wall_time_s,notes
1,2025-12-01T10:26:15.512141,linear_5,N1,N5,0.005,none,shortest,20251201,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
2,2025-12-01T10:26:15.513157,linear_5,N1,N5,0.005,none,shortest,20251202,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
3,2025-12-01T10:26:15.513659,linear_5,N1,N5,0.005,none,shortest,20251203,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
4,2025-12-01T10:26:15.514161,linear_5,N1,N5,0.005,none,shortest,20251204,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
5,2025-12-01T10:26:15.514663,linear_5,N1,N5,0.005,none,shortest,20251205,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
6,2025-12-01T10:26:15.515665,linear_5,N1,N5,0.005,none,shortest,20251206,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
7,2025-12-01T10:26:15.516186,linear_5,N1,N5,0.005,none,shortest,20251207,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
8,2025-12-01T10:26:15.516688,linear_5,N1,N5,0.005,none,shortest,20251208,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
9,2025-12-01T10:26:15.517192,linear_5,N1,N5,0.005,none,shortest,20251209,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
10,2025-12-01T10:26:15.517694,linear_5,N1,N5,0.005,none,shortest,20251210,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
11,2025-12-01T10:26:15.518699,linear_5,N1,N5,0.005,none,shortest,20251211,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0005,success
12,2025-12-01T10:26:15.518699,linear_5,N1,N5,0.005,none,shortest,20251212,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
13,2025-12-01T10:26:15.519702,linear_5,N1,N5,0.005,none,shortest,20251213,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
14,2025-12-01T10:26:15.520216,linear_5,N1,N5,0.005,none,shortest,20251214,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
15,2025-12-01T10:26:15.520718,linear_5,N1,N5,0.005,none,shortest,20251215,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
16,2025-12-01T10:26:15.521220,linear_5,N1,N5,0.005,none,shortest,20251216,N1-N2-N3-N4-N5,4,1,0,0.85746,0.07,1,0.0,success
